  County , ORGANIZATION NAME , Address , City ,State, Zip , DISCIPLINE ,Budget Category,   ANNUAL AUDIENCE SERVED ,Regional Arts Council
Wadena,Wadena County Historical Society,603 N Jefferson,Wadena,MN,56482,History,Under $25K,,RAC 05
Wadena,Wadena-Deer Creek Community Education,520 Colfax Ave SW,Wadena,MN,56482,Other,Under $25K,235,RAC 05
Wadena,Whiskey Creek Film Festival,21339 County Rd 66,Wadena,MN,56482,Media & Communications,Under $25K,"1,900",RAC 05
Waseca,City of Waseca/History Project,508 South State Street,Waseca,MN,56093,History,Under $25K,,RAC 09
Waseca,"Prairie Lakes Regional Arts Council, Inc.","105 22nd Avenue NE, Suite A",Waseca,MN,56093-2612,Other,$100K-$250-K,0,RAC 09
Waseca,Project GEM,631 320th Ave.,Pemberton,MN,56078-2101,Arts Multipurpose,$25K-$100K,80,RAC 09
Waseca,"Waseca Arts Council, Inc",200 State St. N,Waseca,MN,56093-2931,Arts Multipurpose,$25K-$100K,"4,283",RAC 09
Waseca,"Waseca Classic, Inc.",PO Box 501,Waseca,MN,56093,Performing Arts,Under $25K,"1,315",RAC 09
Waseca,Waseca Community Education,501 Elm Ave E,Waseca,MN,56093-3360,Other,Under $25K,400,RAC 09
Waseca,Waseca County Historical Society,"315 ne 2nd avenue, PO Box 314",Waseca,MN,56093-2936,Arts Multipurpose,$100K-$250-K,"4,150",RAC 09
Washington,Afton Historical Society and Museum,"3165 Saint Croix Trail South, PO Box 178",Afton,MN,55001,History,Under $25K,,RAC 11
Washington,ArtReach St. Croix,224 N. 4th Street,Stillwater,MN,55082-4807,Visual Arts & Architecture,$100K-$250-K,"2,957",RAC 10
Washington,ArtSage/MN Creative Arts and Aging Network,155 Lake St E Ste 206,Wayzata,MN,55082,Arts Multipurpose,$100K-$250-K,"5,500",RAC 11
Washington,City of Afton/History Project,"Afton City Hall, 3033 St. Croix Trail S, PO Box 219",Afton,MN,55001,History,Under $25K,,RAC 11
Washington,City of Marine on St. Croix/History Project,121 Judd Street,Marine on St. Croix,MN,55407,History,$25K-$100K,,RAC 11
Washington,City of Stillwater/History Projects,216 North 4th Street,Stillwater,MN,55082,History,Under $25K,,RAC 11
Washington,East Metro Symphony Orchestra,1949 Paris Bay N,Stillwater,MN,55082,Performing Arts,$25K-$100K,300,RAC 11
Washington,Encore Wind Ensemble,PO Box 251071,Woodbury,MN,55125,Performing Arts,Under $25K,"1,300",RAC 11
Washington,FamilyMeans,1976 Northwestern Ave S,Stillwater,MN,55082,Other,Under $25K,100,RAC 11
Washington,Forest Lake Park Board,220 Lake St N,Forest Lake,MN,55025-2505,Other,Under $25K,"3,000",RAC 11
Washington,Harmonic Relief,1175 Gershwin Ave N Ste 28548,Oakdale,MN,55128,Performing Arts,Under $25K,400,RAC 11
Washington,Los Alegres Bailadores,8388 Jody Ln,Cottage Grove,MN,55016,Performing Arts,$25K-$100K,120,RAC 11
Washington,Masquers Theatre Company,PO Box 446,Forest Lake,MN,55025-0446,Performing Arts,$25K-$100K,"1,515",RAC 11
Washington,Merrill Community Arts Center,"380 Rivertown Drive, #200",Woodbury,MN,55125-7744,Performing Arts,$250K-$1M,"9,997",RAC 11
Washington,Music St. Croix,522 Oak St W,Stillwater,MN,55082-5623,Performing Arts,$25K-$100K,50,RAC 11
Washington,Paint on the Water: St. Croix Valley Hip Hop Festival,116 S Main St,Stillwater,MN,55082,Arts Multipurpose,$100K-$250-K,350,RAC 11
Washington,Square Lake Film and Music Festival,13363 Partridge Rd N,Stillwater,MN,55082,Arts Multipurpose,$25K-$100K,"1,400",RAC 11
Washington,St. Croix Valley Chamber Chorale,PO Box 352,Stillwater,MN,55082-0352,Performing Arts,$25K-$100K,100,RAC 11
Washington,Valley Friendship Club,2300 Orleans St W,Stillwater,MN,55082,Arts Multipurpose,Under $25K,200,RAC 11
Washington,Washington County 4-H Federation,14949 62nd St N,Stillwater,MN,55082-6132,Performing Arts,Under $25K,"1,900",RAC 11
Washington,Wildwood Artist Series,8432 80th St N,Stillwater,MN,55082,Performing Arts,Under $25K,950,RAC 11
Washington,Vallee de Croix,14301 57th Street North,Stillwater,MN,55082,Performing Arts,$25K-$100K,15,RAC 11
Washington,Washington County Historical Society,,Stillwater,MN,,History,$250K-$1M,,RAC 11
Watonwan,City of St. James,124 Armstrong Blvd S PO Box 70,Saint James,MN,56081,Other,$25K-$100K,"1,005",RAC 09
Watonwan,Madelia Area Chamber of Commerce,"127 W Main, PO Box 171",Madelia,MN,56062-0171,Other,Under $25K,"3,000",RAC 09
Watonwan,Watonwan County Historical Society,423 Dill Ave SW PO Box 126,Madelia,MN,56062-1315,History,$25K-$100K,"1,700",RAC 09
Wilkin,Wilkin County Agricultural Society,1948 280th St,Breckenridge,MN,56520,Performing Arts,Under $25K,250,RAC 04
Winona,Bluff Country Studio Art Tour,PO Box 78,Winona,MN,55987,Visual Arts & Architecture,Under $25K,"2,000",RAC 10
Winona,City of Winona Community Services - Arts Programs,207 Lafayette St,Winona,MN,55987,Arts Multipurpose,Under $25K,390,RAC 10
Winona,City of Winona/History Project,"207 Lafayette Street, PO Box 378",Winona,MN,55987,History,$25K-$100K,,RAC 10
Winona,Frozen River Film Festival,PO Box 647,Winona,MN,55987,Media & Communications,$25K-$100K,"3,676",RAC 10
Winona,Great River Shakespeare Festival,79 E 3RD ST,Winona,MN,55987-3447,Performing Arts,$250K-$1M,"10,793",RAC 10
Winona,Mid West Music Fest,168 3rd St E,Winona,MN,55987,Performing Arts,$25K-$100K,"1,700",RAC 10
