Geo_FIPS,Geo_GEOID,Geo_NAME,Geo_QName,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_FILEID,Geo_LOGRECNO,Geo_STATE,Geo_COUNTY,Tot_pop,pop_16u,lab_force,armed_for,civilian,emplyd,unemplyd,not_labor,,,In labor force:,"7,114"
27115,05000US27115,"Pine County, Minnesota","Pine County, Minnesota",mn,50,0,ACSSF,70,27,115,29347,23916,14149,3,14146,12937,1209,9767,,,,
27117,05000US27117,"Pipestone County, Minnesota","Pipestone County, Minnesota",mn,50,0,ACSSF,71,27,117,9407,7366,4914,2,4912,4688,224,2452,,,,
27119,05000US27119,"Polk County, Minnesota","Polk County, Minnesota",mn,50,0,ACSSF,72,27,119,31630,25028,16540,36,16504,15671,833,8488,,,,
27121,05000US27121,"Pope County, Minnesota","Pope County, Minnesota",mn,50,0,ACSSF,73,27,121,10946,8903,5686,0,5686,5422,264,3217,,,,
27123,05000US27123,"Ramsey County, Minnesota","Ramsey County, Minnesota",mn,50,0,ACSSF,74,27,123,521265,413165,283798,126,283672,261376,22296,129367,,,,
27125,05000US27125,"Red Lake County, Minnesota","Red Lake County, Minnesota",mn,50,0,ACSSF,75,27,125,4071,3171,2204,0,2204,2094,110,967,,,,
27127,05000US27127,"Redwood County, Minnesota","Redwood County, Minnesota",mn,50,0,ACSSF,76,27,127,15834,12409,8034,4,8030,7627,403,4375,,,,
27129,05000US27129,"Renville County, Minnesota","Renville County, Minnesota",mn,50,0,ACSSF,77,27,129,15326,12303,8035,1,8034,7550,484,4268,,,,
27131,05000US27131,"Rice County, Minnesota","Rice County, Minnesota",mn,50,0,ACSSF,78,27,131,64829,51740,35632,9,35623,33390,2233,16108,,,,
27133,05000US27133,"Rock County, Minnesota","Rock County, Minnesota",mn,50,0,ACSSF,79,27,133,9587,7476,4907,9,4898,4703,195,2569,,,,
27135,05000US27135,"Roseau County, Minnesota","Roseau County, Minnesota",mn,50,0,ACSSF,80,27,135,15545,12220,8626,2,8624,8329,295,3594,,,,
27137,05000US27137,"St. Louis County, Minnesota","St. Louis County, Minnesota",mn,50,0,ACSSF,81,27,137,200563,166296,103194,204,102990,94870,8120,63102,,,,
27139,05000US27139,"Scott County, Minnesota","Scott County, Minnesota",mn,50,0,ACSSF,82,27,139,135129,99801,77066,46,77020,72883,4137,22735,,,,
27141,05000US27141,"Sherburne County, Minnesota","Sherburne County, Minnesota",mn,50,0,ACSSF,83,27,141,89770,67220,49583,0,49583,46526,3057,17637,,,,
27143,05000US27143,"Sibley County, Minnesota","Sibley County, Minnesota",mn,50,0,ACSSF,84,27,143,15096,11750,8325,0,8325,7795,530,3425,,,,
27145,05000US27145,"Stearns County, Minnesota","Stearns County, Minnesota",mn,50,0,ACSSF,85,27,145,151728,120610,87205,52,87153,81665,5488,33405,,,,
27147,05000US27147,"Steele County, Minnesota","Steele County, Minnesota",mn,50,0,ACSSF,86,27,147,36472,28200,19689,23,19666,18382,1284,8511,,,,
27149,05000US27149,"Stevens County, Minnesota","Stevens County, Minnesota",mn,50,0,ACSSF,87,27,149,9748,7929,5379,0,5379,5145,234,2550,,,,
27151,05000US27151,"Swift County, Minnesota","Swift County, Minnesota",mn,50,0,ACSSF,88,27,151,9602,7823,5193,0,5193,4975,218,2630,,,,
27153,05000US27153,"Todd County, Minnesota","Todd County, Minnesota",mn,50,0,ACSSF,89,27,153,24588,19350,12085,4,12081,11320,761,7265,,,,
27155,05000US27155,"Traverse County, Minnesota","Traverse County, Minnesota",mn,50,0,ACSSF,90,27,155,3455,2844,1707,0,1707,1661,46,1137,,,,
27157,05000US27157,"Wabasha County, Minnesota","Wabasha County, Minnesota",mn,50,0,ACSSF,91,27,157,21485,17177,11822,2,11820,11237,583,5355,,,,
27159,05000US27159,"Wadena County, Minnesota","Wadena County, Minnesota",mn,50,0,ACSSF,92,27,159,13754,10840,6122,2,6120,5793,327,4718,,,,
27161,05000US27161,"Waseca County, Minnesota","Waseca County, Minnesota",mn,50,0,ACSSF,93,27,161,19127,15101,9992,0,9992,9448,544,5109,,,,
27163,05000US27163,"Washington County, Minnesota","Washington County, Minnesota",mn,50,0,ACSSF,94,27,163,244103,188788,135984,151,135833,128308,7525,52804,,,,
27165,05000US27165,"Watonwan County, Minnesota","Watonwan County, Minnesota",mn,50,0,ACSSF,95,27,165,11151,8651,5957,4,5953,5702,251,2694,,,,
27167,05000US27167,"Wilkin County, Minnesota","Wilkin County, Minnesota",mn,50,0,ACSSF,96,27,167,6561,5177,3502,0,3502,3393,109,1675,,,,
27169,05000US27169,"Winona County, Minnesota","Winona County, Minnesota",mn,50,0,ACSSF,97,27,169,51285,42855,30398,4,30394,27914,2480,12457,,,,
27171,05000US27171,"Wright County, Minnesota","Wright County, Minnesota",mn,50,0,ACSSF,98,27,171,127386,93690,71058,64,70994,67021,3973,22632,,,,
27173,05000US27173,"Yellow Medicine County, Minnesota","Yellow Medicine County, Minnesota",mn,50,0,ACSSF,99,27,173,10233,8176,5312,5,5307,5119,188,2864,,,,
