County,FIPS,State,State abr.,metro_2003,civ_employ_07_11,creative_employ_07_11,creative_employ_shared,arts_pooled,arts_pooled_share,empYear,avg_estabYear,totwageYear,avgwkwageYear,Tot_pop,pop_16u,lab_force,armed_for,civilian,emplyd,unemplyd,not_labor,ce_jobs,Med_earn,avg_earn,lq,ce_per_w,ce_per_c,ad,pub,agent,arch,land,direct,curator,lib,art,craft,fine_art,multimed,comm_des,fash_des,flor_des,graph_des,int_des,merch,set_des,actor,producer,dancer,chore,music_dir,singer,radio_tv,pub_rel,editor,tech_writ,author,media_other,audio_tech,broad_tech,sound_eng,photo,camera,film,med_equip,makeup,mus_repair,pop_med_earnings,avgwages,pop_med_male,pop_med_female
Grant County,27051,Minnesota,MN,0,2955,530,0.17936,20,0.00677,1928,250,66112891,658,5977,4850,3119,0,3119,2961,158,1731,79,17,17,1,27,13,0,1,1,2,0,5,0,1,2,2,5,2,1,0,3,5,1,1,0,2,0,1,0,4,10,0,2,3,1,7,0,1,0,0,14,0,0,0,0,1,30151,14.49567308,36133,22198
Hennepin County,27053,Minnesota,MN,1,614325,215220,0.35034,12680,0.02064,866057,37761,55336573979,1229,1184091,946185,681820,384,681436,633747,47689,264365,39399,24,25,1,62,33,500,710,320,1282,356,820,39,531,972,880,1674,862,426,200,327,3803,1077,1162,339,786,689,341,90,826,3856,245,1838,1742,662,3753,818,421,145,149,6022,162,252,151,38,130,37402,17.98173077,42332,32413
Houston County,27055,Minnesota,MN,1,10090,1965,0.19475,100,0.00991,4934,427,148432313,578,18859,15254,10326,3,10323,9741,582,4928,311,18,19,2,32,16,5,3,3,4,2,11,0,7,7,8,14,6,6,4,8,15,5,18,4,8,13,2,1,8,29,4,4,7,1,26,18,5,2,1,41,4,2,3,0,2,30726,14.77211538,36843,25320
Hubbard County,27057,Minnesota,MN,0,8950,1820,0.20335,85,0.00950,5767,591,189167903,631,20518,16712,10008,2,10006,9482,524,6704,170,17,17,1,18,8,1,1,2,2,1,8,0,3,3,4,8,3,1,0,8,11,3,2,1,4,2,1,0,8,21,11,3,5,1,15,1,1,2,0,30,0,1,0,0,2,25773,12.39086538,30528,21954
Isanti County,27059,Minnesota,MN,1,18455,3745,0.20293,150,0.00813,10902,763,401637276,708,38190,29667,20976,23,20953,19346,1607,8691,639,18,18,1,33,17,3,4,7,17,5,15,0,11,17,22,39,15,9,2,8,45,16,14,2,11,4,5,1,17,75,3,14,31,5,71,4,4,0,1,128,2,2,1,1,8,31601,15.19278846,39468,26612
Itasca County,27061,Minnesota,MN,0,19770,3735,0.18892,135,0.00683,15994,1180,612066775,735,45303,36757,21507,0,21507,19785,1722,15250,418,17,17,1,21,9,2,2,4,9,3,15,1,10,11,13,23,10,5,1,10,27,8,12,1,18,5,4,1,14,47,11,12,12,3,38,3,6,1,1,66,1,2,1,0,4,25168,12.1,31950,20156
Jackson County,27063,Minnesota,MN,0,5390,945,0.17532,65,0.01206,5757,351,200505805,669,10260,8217,5583,0,5583,5353,230,2634,133,16,17,1,25,13,1,1,1,1,0,7,1,4,3,3,6,2,4,0,3,11,2,2,0,2,1,1,0,5,13,5,6,6,5,10,1,1,0,0,22,0,0,0,0,1,29249,14.06201923,36311,21865
Kanabec County,27065,Minnesota,MN,0,7490,1125,0.15020,45,0.00601,3765,294,129295530,660,16084,12913,8089,4,8085,7174,911,4824,170,17,17,1,24,11,1,1,2,2,0,6,0,4,5,6,11,4,3,1,5,16,4,3,0,4,1,1,0,5,21,1,4,9,1,17,1,1,0,1,25,1,0,0,0,2,26970,12.96634615,32940,20739
Kandiyohi County,27067,Minnesota,MN,0,21900,4080,0.18630,145,0.00662,22812,1343,802450808,676,42316,33501,23145,11,23134,21693,1441,10356,528,18,19,1,24,12,3,4,4,12,2,44,1,15,11,12,22,10,7,2,9,32,9,9,1,10,5,2,1,28,56,29,20,16,7,40,3,5,2,1,82,2,1,1,0,8,27762,13.34711538,33478,22664
Kittson County,27069,Minnesota,MN,0,2240,295,0.13170,4,0.00179,1485,187,52925890,685,4501,3617,2243,0,2243,2180,63,1374,59,17,17,1,27,13,0,0,1,1,0,3,0,1,2,2,4,1,1,0,2,4,2,1,0,1,0,0,0,3,8,0,1,2,0,6,0,0,0,0,11,0,0,0,0,1,29004,13.94423077,37267,19825
